,pathway,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
20,HALLMARK_APICAL_SURFACE,-4.759167528860589e-06,-2.2580636022855385e-06,-1.5272396838130267e-06,-3.5761289810115615e-06,-3.177474556343915e-06,3.972689036766536e-06,8.037867218813922e-07,-1.6451275039523067e-05,5.8578869033803355e-06,-2.184165691733464e-06,1.688308903475405e-06,1.4134570157552095e-05,-2.461431498028757e-06,8.338799728909926e-07,-2.8276605880698732e-06,6.57072042114723e-07,1.5525804786557448e-07,3.025648380935997e-06,-5.678394899279139e-07,1.1840661898795263e-06,1.1275396053182264e-05,1.5943007762608298e-06,2.1771863297674957e-08,1.3860360187790272e-06,-1.685772568831359e-06,9.856107438324657e-07,-8.49335525305965e-06,-1.4392263570587455e-07,3.0627115391443013e-06,-2.2566348750405196e-07,-9.987474030273731e-07,-3.110316806053141e-07,-5.834917123743403e-08,8.814804454271969e-08,9.974209324238088e-07
21,HALLMARK_HEDGEHOG_SIGNALING,-9.15698012770444e-06,-3.868277654879744e-06,-3.419668352953875e-06,-5.946893589254404e-06,-9.024109876958064e-07,-3.057460307669471e-06,-2.1743953229915423e-06,-1.8790422564519266e-05,1.3033897298085628e-07,-7.219787815676559e-06,-1.4061978760818161e-05,-6.809709293051358e-07,-4.115788392582403e-06,-1.7753932889845794e-06,-3.720953249581292e-06,-2.602450614218668e-07,-1.8825146129420288e-07,-2.8395974935400276e-07,-1.387337462969724e-06,4.154350658512086e-05,4.475813283980404e-05,3.622266285596221e-06,1.4031641603970543e-06,-5.833234565837467e-07,-4.074083169136253e-06,4.07475283280799e-06,-1.0068137393849999e-05,-1.110621622010669e-06,6.285839484515728e-07,-1.8153361763405176e-08,-3.0793782089966887e-07,-1.3165849409806476e-07,-8.927398154843233e-07,1.7979188675414592e-06,2.6745793773458315e-07
22,HALLMARK_COMPLEMENT,-1.34874726762102e-05,-1.3795920361686642e-05,1.854209379160629e-06,-1.7271243143308565e-05,-1.2276177814964442e-05,-5.159438768877374e-06,-7.817005014268321e-06,-5.469937485932594e-05,1.1557789729397909e-05,3.586376055167255e-05,-3.095493940767982e-05,4.767608721246465e-05,2.918452995086208e-05,-5.891402768683912e-06,-1.4509192936385841e-05,1.5218391940945847e-05,4.417301314385861e-05,-1.3220328211119292e-06,-9.373270158706624e-07,-2.6007296689287487e-05,-3.0484592626715823e-06,1.3633014072439269e-05,2.1262760732050677e-06,5.589639679962153e-05,-8.295955189110277e-06,-1.8301127467119406e-05,-3.7490843715071165e-05,-1.915273212497342e-07,1.3168661483766667e-05,-8.148011567043686e-07,2.638360407797801e-06,-6.8177730218631e-07,-2.218646490207191e-06,-2.658495279028565e-07,2.691094086025136e-06
23,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-3.7312710642056768e-06,8.237725704169849e-07,-4.9774756581298304e-06,4.058240683845957e-05,3.2516640760928486e-05,-2.8076328099342976e-06,3.163701658094511e-06,-2.579815823806897e-05,-5.33871456333615e-06,-1.0672992332887501e-05,-1.6985191721965304e-05,-1.238869178795711e-05,-5.307940097135956e-06,-3.0618534444613182e-06,5.6491630327755796e-06,6.669810758625199e-05,2.9136399253644387e-06,-5.034121144643043e-06,2.502183280086892e-06,-1.3560955318922194e-05,-6.65158225264615e-06,-1.4255280454400499e-06,-1.0577767262641988e-06,-3.7347656181470346e-06,-8.80533080880111e-06,2.132859236276055e-06,-1.6860997018903687e-05,-1.199638900840341e-06,-4.737926561566939e-06,-9.064335317217603e-08,-7.447916836210086e-07,-2.8580049260025367e-07,-7.791389844533005e-08,-1.0808489923883914e-06,-5.12983955333523e-07
24,HALLMARK_PI3K_AKT_MTOR_SIGNALING,-3.0389503522305905e-05,-1.2012406795634985e-05,3.093966431410612e-06,-1.4158669617079893e-05,-6.5952620506622844e-06,-1.0032453142749115e-05,-1.1879782588195865e-06,-5.7619573277573055e-05,-4.051868216699631e-06,0.0001579736410308799,-5.060270724061705e-05,-1.342418360899926e-05,2.948675051472026e-05,-1.318770711150781e-05,3.0198705766957407e-06,2.4675369327451045e-05,-5.601004954276833e-06,-8.536716918410448e-06,8.379046924595918e-06,-3.1960390147035486e-05,7.937153612931798e-06,-5.894986811185278e-06,3.072778554950666e-06,1.3506978703095064e-06,4.756203723076807e-05,-1.7564084766182216e-05,-3.279198022600356e-05,1.7972566900247553e-06,2.1391654307930698e-05,-6.572578202093996e-07,1.1940701281641696e-06,-1.4276489367851387e-06,-2.542980737594235e-06,8.976110975519224e-06,7.273025565336546e-07
25,HALLMARK_MTORC1_SIGNALING,5.572965727400521e-05,6.780835256910145e-06,9.92400307602611e-06,5.3374555178398175e-08,-2.6354977304904673e-06,-2.0439550072188888e-06,1.3822698084402056e-06,7.945285057870538e-05,6.677497968076568e-06,-2.7822701133354763e-05,-1.6328571608936748e-05,-1.9395232170121846e-05,-7.437531194066493e-06,-5.344936474473497e-06,1.7068400972892334e-07,1.3481080317124996e-05,-5.012801795375305e-07,-8.445056947226602e-06,-6.180719940418857e-07,-2.4141575022756934e-05,-1.1217984674358542e-05,-1.9676396888709553e-06,-6.736879380062283e-07,-3.675984069998091e-06,-5.638294621704287e-06,-7.596262988303348e-06,-1.867166407828677e-05,5.455118834839126e-07,-6.603332497713381e-06,4.153087574949692e-08,-1.2345427029692834e-07,-4.374393677717076e-07,-1.617074394202585e-06,-9.618901199703325e-07,-2.0986920725045758e-07
26,HALLMARK_E2F_TARGETS,-2.1388548337627697e-05,1.7846016144693402e-05,9.749514074683732e-07,0.00014572794775496393,-3.726068474856764e-06,-6.651821463508206e-06,1.969331558743844e-05,-1.715115559657726e-05,-1.5290595879877827e-05,-3.996144804687546e-05,-3.926116930064519e-05,-3.63256626602429e-05,-9.590871324238748e-06,-9.394848311469056e-06,8.802608476475744e-05,-3.468041812783231e-06,-3.2234120430074675e-06,-1.3867508062668631e-05,-3.0917184251380526e-06,-3.3306281277088734e-05,-1.5254227898501855e-05,-4.996285080829553e-06,-2.0050396054489307e-06,-9.011336485756534e-06,-1.32151029510778e-05,-8.052551576741458e-06,4.3909056570229366e-05,-2.929901385966883e-06,-5.754393695999588e-06,3.278624863098877e-06,-3.5434311800842076e-06,-6.066487583878321e-07,2.591222608860303e-06,-4.967919968682107e-08,-7.187133601283625e-07
27,HALLMARK_MYC_TARGETS_V1,-1.5449254698389828e-05,1.768972895415874e-05,-3.6484158366699784e-06,3.6847170691991366e-05,8.526561280683582e-05,-6.274960976585756e-06,5.011164008480486e-06,0.00017277607837129505,-1.498759376791347e-05,-4.081101935482154e-05,-4.2635892765884725e-05,-3.2105093917964705e-05,-9.919185578461612e-06,-8.448263245626128e-06,1.1405379056389497e-05,-5.399138754632465e-06,-2.767033389229189e-06,-1.4407086612296897e-05,-2.22053076792076e-06,-3.793027822946403e-05,-1.784284084680593e-05,-5.071188263632486e-06,-2.384430366690984e-06,-8.537952463037995e-06,-1.6242370952321457e-05,-1.1444297670607124e-05,-1.1511575261266213e-05,-2.8565799892552187e-06,-1.1122140791535676e-05,-5.268592759631965e-07,-6.039061322486152e-07,-1.02051321227304e-06,-4.1333444315112215e-07,-1.8236160213770832e-06,-3.604037202406318e-07
28,HALLMARK_MYC_TARGETS_V2,4.607592379943931e-07,1.569416898562423e-06,3.502350878073837e-07,5.173269489842577e-06,2.4920972004483302e-05,-1.3495966785900988e-06,2.5390389498925435e-06,-7.856655161921772e-06,-1.967041492216201e-06,-5.461467581256707e-06,-3.8765605417760696e-06,-4.459257971135833e-06,-1.5537144182516116e-06,-1.3312940088001934e-06,5.353353227804253e-06,-1.6803673340455572e-07,-7.045516644715085e-07,-2.5395319861662435e-06,-1.0814202090715305e-07,-4.6443792623366426e-06,-2.726364110092541e-06,-8.26046069488497e-07,-5.880992383526041e-07,-9.025362757786662e-07,-2.375363235813596e-06,2.3818299221189596e-06,-2.1604629099804956e-06,-2.3120857492664936e-07,-1.6055110596156427e-06,2.7716786285721107e-07,1.2486045803522788e-07,-2.1005780761297133e-07,4.33127844243382e-06,3.9552913731419077e-07,-2.2395428709307344e-07
29,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-1.609797087537626e-05,-1.2126824666512485e-05,-1.1011631517968135e-05,-1.4715965558579486e-05,-3.848799776430718e-06,1.3128352654778914e-05,-5.6348309096744195e-06,-6.254572553962556e-05,-3.6279695989150165e-06,-1.0537907856111167e-05,-3.070828419356186e-05,2.0032667760279052e-05,-8.647704349020596e-06,-7.488939297200722e-06,-1.6598668049318602e-05,-2.7367434431973398e-06,2.2282169612685646e-06,-7.778897591488067e-06,-2.5921089861483853e-06,5.18876514425011e-05,2.1176976180637113e-05,0.00017083357501893374,9.424767713982294e-06,3.9533045363927474e-06,-1.800466571995167e-05,-1.2025106222181801e-05,-3.602092009752193e-05,-2.1998385648988182e-06,-2.6614990725724874e-07,-9.136765922287591e-07,-1.725076614612713e-06,-9.387510414091008e-07,-2.09471345620721e-06,-1.499349349268664e-06,-6.84256124365161e-08
