ER_STATUS, AGR3, ESR1, CA12, GATA3, PSAT1, TBC1D9, FOXA1, DNALI1, MLPH, MYB, MAPT, U79293, RERG, TFF3, PPP1R14C, IL6ST, AFF3, C9orf116, XBP1, C6orf97, SUSD3, GFRA1, VGLL1, GAMT, DEGS2, SOX11, SLC39A6, NME3, KLHDC9, NAT1, SCUBE2, TTLL4, DNAJC12, ANXA9, ARSG, BX109404, SKP1, FBP1, CCNE1, CMBL, P4HTM, BCL11A, CDCA7, PDSS1, C16orf57, BCL2, HAPLN3, C5orf30, C1orf106, MPP6, IGF1R, CXXC5, RABEP1, LPIN1, EVL, CASC1, TFF1, DACH1, SLC7A8, LRP8, DYNLRB2, RSPH1, C1orf64, FAM123B, MAGED2, RAB17, TCEAL3, CCDC24, PRKX, SYBU, DSC2, WWP1, TCTN1, CHCHD5, EML4, UBASH3B, CIRBP, SLC44A4, SKP2, NUP93, KRT16P3, RUNDC1, GSDMC, AGR2, SYTL4, PFKP, FAM171A1, SLC22A5, PLEKHG1, CLSTN2, INPP5J, C11orf75, SCCPDH, WFS1, FZD9, YEATS2, FSIP1, KCTD6, RARRES1, CBX2, MTHFD1L, CDK6, ZMYND10, CPEB2, FAM134B, WDR19, CPA4, EGFR, E2F3, MID1, STARD10, USP6NL, SRPK1, CCNYL1, CARD9, C10orf116, PSME4, MYO5C, BBS1, ATL2, C14orf45, SLC7A5, KCNG1, CAPN8, STC2, SRD5A1, NCK2, ADCY9, THSD4, KRT18, S100A8, LRRC56, CDH3, TIGD2, SALL2, MALL, C6orf211, FOXC1, BC038245, FABP7, ART3, GAL, LONRF2, CMYA5, KCTD3, ZG16B, MRFAP1L1, CENPA, ACADSB, PHGDH, TCEAL4, FMNL2, FGD3, APH1B, YBX1, ACOT4, CRIP1, MICALL1, CHEK1, TMBIM4, BBS4, LAMP3, ZNF552, ENO1, NEK11, EU154351, RARA, KIAA1467, CXorf61, SOD2, MEIS3, EXOC6, NCS1, PLCH1, CAMLG, LRBA, UGT8, SUOX, RBMS1, EPB41L5, SPDEF, EPHB6, DYSF, C3orf58, CCDC74A, UPP1, FAAH, C11orf35, WNK4, SERPINA11, CEBPB, TMSB15A, LASS6, KIAA1407, PRRT3, TTYH3, FLJ23152, ANKRD30A, MTL5, ZNF670, REEP5, PAK1IP1, NCOA7, ATP6V1C2, CCDC106, HMGA1, ERBB3, RBKS, STX19, CTPS, CENPW, SLC7A2, FUT3, TMSB15B, GCNT2, CDCA2, C14orf79, AGTPBP1, GABBR2, HPN, RALGPS1, RASAL1, RAB27B, KCNN4, C16orf61, HSD17B4, IQCK, TTC8, BCAS4, BHLHE40, GARS, KIF2C, AF385432, LRRC48, HMGCL, TRPV6, GLYATL2, ECE2, FAM174A, MSN, MCM10, CDC20, RNF145
HER2_STATUS, PGAP3, STARD3, GRB7, ERBB2, C17orf37, ORMDL3, GSDMB, PSMD3, PNMT, MED1, FBXL20, MED24, TCAP, PSMB3, CDK12, LOC100505576, MFSD2A, SOX11, TP53INP2, TLCD1, CWC25, PPP1R10, SLC6A16, CATSPERB, FUT3, BC004960, G6PD, FGFR4, PIP4K2B, TMEM132A, CLCA2, PPP1R1B, S100A8, BCL2, GLYATL2, NUDT6, C1orf106, TRAF4, RERG, SLC6A13, IDH2, RPL19, CXCL17, C14orf184, ASB13, SRPK3, TRPV6, SPINK8, IKZF3, CDR2L, FHOD1, GGT1, SAMD11, C2CD4B, SUSD2, MPHOSPH6, MLLT6, CDC6, TMEM101, DNMT3B, SLC25A1, FGB, S100A9, LASP1, CBX2, LAD1, CASC3, ABCC12, GGTLC2, PCGF2, S100A7A, C2CD4A, ESR1, KYNU, GGCT, WDR19, TNFAIP1, SUSD3, MYL5, IGF1R, LBP, AKR1B10, IL6ST, DUSP10, OR52A5, STC2, PRODH, COMT, ERAL1, GGT2, SORBS3, GPR119, LRRC26, ATP13A5, SSH2, FA2H, NEU4, GGT3P, CCDC56, KATNAL2, TTYH3, MBOAT1, RBBP8, SLC29A4, MAPT, ENPP3, TRIB3, C7orf59, SLC4A11, ABCC11, NMNAT3, MYCN, ABCC4, FAM110A, GCHFR, CASP3, PITPNC1, C14orf147, DKK1, IER5L, GSDMC, FLNB, C12orf28, SLC37A1, KCNK1, POR, PAX9, BECN1, CYB561, SDC1, C22orf36, ACY3, CCDC61, VPS37B, SLC25A18, PPP1R14B, CELSR2, APH1B, CYB5D2, FGG, FAM134B, PCM1, RALA, KLHL5, SIAH2, MMP15, OPRL1, P2RY6, CST3, MNX1, FAM83A, VMP1, SCUBE2, DNASE1, DBN1, ONECUT2, HMGCL, RAPGEFL1, HPN, SPAG5, SGK3, C6orf97, C7orf68, AK096668, CLIC3, C5, S100A11, UCP2, TRIM45, POLDIP2, IYD, EPHA1, TMSB10, N4BP2L1, CLUAP1, PTRH2, SERPINA3, BX089532, PHLDA2, VAMP2, SLC15A2, C16orf57, CLSTN2, CTSF, SUPT6H, MTFR1, ALDH4A1, IGF2R, NCOA3, FAM127C, TNNT2, HMGB3, CDC45, FLOT2, EPHB4, ADCY9, SERHL2, CALML5, TDO2, BX109404, PLXNB3, SNF8, TMEM26, NAT1, ITGB6, LONRF2, F8, RAVER2, GUCY1A2, GLS2, PARP3, GPR27, SIK3, C17orf63, ZBTB4, SLC25A12, DCAF16, ZNF341, BX098874, RUNDC1, FRS3, AARS, SPRY4, GSK3B, C12orf76, GARS, NEDD8, STX1A, COL13A1, RTN4IP1, SLC35C1, DBNDD1, ETFA, RSBN1, PFKP, SYNCRIP, MGAT4A, LYPD6, GPR172A, GFRA1, GRAMD2, TFRC, UBXN11
PR_STATUS, PGR, SUSD3, MAPT, ESR1, AGR3, IL6ST, CASC1, NAT1, FGD3, C6orf97, SCUBE2, SERPINA11, CA12, BX109404, LRRC48, C9orf116, MEIS3, MYB, GFRA1, LRIG1, TMEM26, PSAT1, C14orf45, IQCK, DNALI1, RTN1, ACOT4, ABAT, SIAH2, C1orf106, RERG, GATA3, DEGS2, STC2, FAM176B, KLHDC9, TFF1, SLC39A6, TBC1D9, TFF3, RSPH1, ADCY1, WDR19, ZMYND10, RBBP8, RABEP1, PMP22, CELSR2, CIRBP, EVL, U79293, C4orf32, SERPINA3, SYBU, ADCY9, C7orf63, CCNE1, FOXA1, TCTN1, SFXN2, C16orf61, C16orf57, EML4, KCTD3, PKIB, XBP1, C17orf97, SLC7A2, FAM120AOS, PDZK1, RAB30, TUBA3D, CAPN8, DNAJC12, CCDC74A, ZG16B, LZTFL1, NUP93, NME3, CBX2, KIAA1370, MLPH, PHYHD1, TRIM8, SLC4A7, CDCA7, IRS1, GAMT, LOC389033, NEK11, BCL2, LAD1, ELOVL5, HPN, LRP8, C14orf179, IFT46, S100A8, PTPRT, FLNB, GRPR, LONRF2, SLC7A5, DYNLRB2, LPIN1, PRKX, PREX1, CCDC103, AFF3, RARRES1, EFHC1, KIAA1407, DYSF, CENPA, SYTL4, THSD4, EXOC6, GJA1, IGFBP4, PDSS1, C14orf79, CYB5D2, BLM, MAGED2, CHCHD5, CHST8, LOC100506668, TTLL4, SALL2, ANXA9, SEC14L2, RAB17, SOX11, BTD, LRRC56, HAPLN3, KIAA1737, PTGER3, AIF1L, ZNF552, IGF1R, MTHFD1L, C16orf93, CCDC24, NRIP1, LRRC6, NEK10, RUNDC1, MYO5C, PPM1J, TTC8, NOSTRIN, FSIP1, CMYA5, CD2BP2, RCOR3, KCNG1, LYPD6, APH1B, BAI2, E2F4, CDC45, SERPINA5, C11orf75, KIF2C, PPP1R14C, GARS, CPA4, MVD, NCS1, P2RY6, CDC42EP1, FAM123B, IFT88, KARS, VGLL1, HJURP, PLK1, ORC6, FAM134B, CLIC6, RAI2, CLUAP1, PTP4A2, JMJD8, NDRG1, MPP6, SEL1L3, NT5DC2, DCDC5, LAMP3, RBKS, C9orf89, KDM4B, ELP2, HMGCL, KIF13B, NUP205, COL4A5, C11orf35, KLF11, ANKRA2, VEZF1, BMPR1B, BBS1, TTC18, PLCL1, CARD9, C1orf21, TMEM144, DAPK1, ECE2, UBASH3B, YEATS2, SNX8, CDCA5, NPAS1, TMBIM4, LRRC50, UPP1, PNP, BTRC, ARSG, MELK, RFWD3, FMNL2, RGS22, IL1F7, BUB1, FAM198B, CCDC96, SPA17, MCM5, MCM10, AGR2, HSD17B4, C5orf30, GLRB, TMEM132A, C15orf42, ORAI3, CDC20, FOXN2
ER_STATUS, AGR3, ESR1, CA12, GATA3, PSAT1, TBC1D9, FOXA1, DNALI1, MLPH, MYB, MAPT, U79293, RERG, TFF3, PPP1R14C, IL6ST, AFF3, C9orf116, XBP1, C6orf97, SUSD3, GFRA1, VGLL1, GAMT, DEGS2, SOX11, SLC39A6, NME3, KLHDC9, NAT1, SCUBE2, TTLL4, DNAJC12, ANXA9, ARSG, BX109404, SKP1, FBP1, CCNE1, CMBL, P4HTM, BCL11A, CDCA7, PDSS1, C16orf57, BCL2, HAPLN3, C5orf30, C1orf106, MPP6, IGF1R, CXXC5, RABEP1, LPIN1, EVL, CASC1, TFF1, DACH1, SLC7A8, LRP8, DYNLRB2, RSPH1, C1orf64, FAM123B, MAGED2, RAB17, TCEAL3, CCDC24, PRKX, SYBU, DSC2, WWP1, TCTN1, CHCHD5, EML4, UBASH3B, CIRBP, SLC44A4, SKP2, NUP93, KRT16P3, RUNDC1, GSDMC, AGR2, SYTL4, PFKP, FAM171A1, SLC22A5, PLEKHG1, CLSTN2, INPP5J, C11orf75, SCCPDH, WFS1, FZD9, YEATS2, FSIP1, KCTD6, RARRES1, CBX2, MTHFD1L, CDK6, ZMYND10, CPEB2, FAM134B, WDR19, CPA4, EGFR, E2F3, MID1, STARD10, USP6NL, SRPK1, CCNYL1, CARD9, C10orf116, PSME4, MYO5C, BBS1, ATL2, C14orf45, SLC7A5, KCNG1, CAPN8, STC2, SRD5A1, NCK2, ADCY9, THSD4, KRT18, S100A8, LRRC56, CDH3, TIGD2, SALL2, MALL, C6orf211, FOXC1, BC038245, FABP7, ART3, GAL, LONRF2, CMYA5, KCTD3, ZG16B, MRFAP1L1, CENPA, ACADSB, PHGDH, TCEAL4, FMNL2, FGD3, APH1B, YBX1, ACOT4, CRIP1, MICALL1, CHEK1, TMBIM4, BBS4, LAMP3, ZNF552, ENO1, NEK11, EU154351, RARA, KIAA1467, CXorf61, SOD2, MEIS3, EXOC6, NCS1, PLCH1, CAMLG, LRBA, UGT8, SUOX, RBMS1, EPB41L5, SPDEF, EPHB6, DYSF, C3orf58, CCDC74A, UPP1, FAAH, C11orf35, WNK4, SERPINA11, CEBPB, TMSB15A, LASS6, KIAA1407, PRRT3, TTYH3, FLJ23152, ANKRD30A, MTL5, ZNF670, REEP5, PAK1IP1, NCOA7, ATP6V1C2, CCDC106, HMGA1, ERBB3, RBKS, STX19, CTPS, CENPW, SLC7A2, FUT3, TMSB15B, GCNT2, CDCA2, C14orf79, AGTPBP1, GABBR2, HPN, RALGPS1, RASAL1, RAB27B, KCNN4, C16orf61, HSD17B4, IQCK, TTC8, BCAS4, BHLHE40, GARS, KIF2C, AF385432, LRRC48, HMGCL, TRPV6, GLYATL2, ECE2, FAM174A, MSN, MCM10, CDC20, RNF145
HER2_STATUS, PGAP3, STARD3, GRB7, ERBB2, C17orf37, ORMDL3, GSDMB, PSMD3, PNMT, MED1, FBXL20, MED24, TCAP, PSMB3, CDK12, LOC100505576, MFSD2A, SOX11, TP53INP2, TLCD1, CWC25, PPP1R10, SLC6A16, CATSPERB, FUT3, BC004960, G6PD, FGFR4, PIP4K2B, TMEM132A, CLCA2, PPP1R1B, S100A8, BCL2, GLYATL2, NUDT6, C1orf106, TRAF4, RERG, SLC6A13, IDH2, RPL19, CXCL17, C14orf184, ASB13, SRPK3, TRPV6, SPINK8, IKZF3, CDR2L, FHOD1, GGT1, SAMD11, C2CD4B, SUSD2, MPHOSPH6, MLLT6, CDC6, TMEM101, DNMT3B, SLC25A1, FGB, S100A9, LASP1, CBX2, LAD1, CASC3, ABCC12, GGTLC2, PCGF2, S100A7A, C2CD4A, ESR1, KYNU, GGCT, WDR19, TNFAIP1, SUSD3, MYL5, IGF1R, LBP, AKR1B10, IL6ST, DUSP10, OR52A5, STC2, PRODH, COMT, ERAL1, GGT2, SORBS3, GPR119, LRRC26, ATP13A5, SSH2, FA2H, NEU4, GGT3P, CCDC56, KATNAL2, TTYH3, MBOAT1, RBBP8, SLC29A4, MAPT, ENPP3, TRIB3, C7orf59, SLC4A11, ABCC11, NMNAT3, MYCN, ABCC4, FAM110A, GCHFR, CASP3, PITPNC1, C14orf147, DKK1, IER5L, GSDMC, FLNB, C12orf28, SLC37A1, KCNK1, POR, PAX9, BECN1, CYB561, SDC1, C22orf36, ACY3, CCDC61, VPS37B, SLC25A18, PPP1R14B, CELSR2, APH1B, CYB5D2, FGG, FAM134B, PCM1, RALA, KLHL5, SIAH2, MMP15, OPRL1, P2RY6, CST3, MNX1, FAM83A, VMP1, SCUBE2, DNASE1, DBN1, ONECUT2, HMGCL, RAPGEFL1, HPN, SPAG5, SGK3, C6orf97, C7orf68, AK096668, CLIC3, C5, S100A11, UCP2, TRIM45, POLDIP2, IYD, EPHA1, TMSB10, N4BP2L1, CLUAP1, PTRH2, SERPINA3, BX089532, PHLDA2, VAMP2, SLC15A2, C16orf57, CLSTN2, CTSF, SUPT6H, MTFR1, ALDH4A1, IGF2R, NCOA3, FAM127C, TNNT2, HMGB3, CDC45, FLOT2, EPHB4, ADCY9, SERHL2, CALML5, TDO2, BX109404, PLXNB3, SNF8, TMEM26, NAT1, ITGB6, LONRF2, F8, RAVER2, GUCY1A2, GLS2, PARP3, GPR27, SIK3, C17orf63, ZBTB4, SLC25A12, DCAF16, ZNF341, BX098874, RUNDC1, FRS3, AARS, SPRY4, GSK3B, C12orf76, GARS, NEDD8, STX1A, COL13A1, RTN4IP1, SLC35C1, DBNDD1, ETFA, RSBN1, PFKP, SYNCRIP, MGAT4A, LYPD6, GPR172A, GFRA1, GRAMD2, TFRC, UBXN11
PR_STATUS, PGR, SUSD3, MAPT, ESR1, AGR3, IL6ST, CASC1, NAT1, FGD3, C6orf97, SCUBE2, SERPINA11, CA12, BX109404, LRRC48, C9orf116, MEIS3, MYB, GFRA1, LRIG1, TMEM26, PSAT1, C14orf45, IQCK, DNALI1, RTN1, ACOT4, ABAT, SIAH2, C1orf106, RERG, GATA3, DEGS2, STC2, FAM176B, KLHDC9, TFF1, SLC39A6, TBC1D9, TFF3, RSPH1, ADCY1, WDR19, ZMYND10, RBBP8, RABEP1, PMP22, CELSR2, CIRBP, EVL, U79293, C4orf32, SERPINA3, SYBU, ADCY9, C7orf63, CCNE1, FOXA1, TCTN1, SFXN2, C16orf61, C16orf57, EML4, KCTD3, PKIB, XBP1, C17orf97, SLC7A2, FAM120AOS, PDZK1, RAB30, TUBA3D, CAPN8, DNAJC12, CCDC74A, ZG16B, LZTFL1, NUP93, NME3, CBX2, KIAA1370, MLPH, PHYHD1, TRIM8, SLC4A7, CDCA7, IRS1, GAMT, LOC389033, NEK11, BCL2, LAD1, ELOVL5, HPN, LRP8, C14orf179, IFT46, S100A8, PTPRT, FLNB, GRPR, LONRF2, SLC7A5, DYNLRB2, LPIN1, PRKX, PREX1, CCDC103, AFF3, RARRES1, EFHC1, KIAA1407, DYSF, CENPA, SYTL4, THSD4, EXOC6, GJA1, IGFBP4, PDSS1, C14orf79, CYB5D2, BLM, MAGED2, CHCHD5, CHST8, LOC100506668, TTLL4, SALL2, ANXA9, SEC14L2, RAB17, SOX11, BTD, LRRC56, HAPLN3, KIAA1737, PTGER3, AIF1L, ZNF552, IGF1R, MTHFD1L, C16orf93, CCDC24, NRIP1, LRRC6, NEK10, RUNDC1, MYO5C, PPM1J, TTC8, NOSTRIN, FSIP1, CMYA5, CD2BP2, RCOR3, KCNG1, LYPD6, APH1B, BAI2, E2F4, CDC45, SERPINA5, C11orf75, KIF2C, PPP1R14C, GARS, CPA4, MVD, NCS1, P2RY6, CDC42EP1, FAM123B, IFT88, KARS, VGLL1, HJURP, PLK1, ORC6, FAM134B, CLIC6, RAI2, CLUAP1, PTP4A2, JMJD8, NDRG1, MPP6, SEL1L3, NT5DC2, DCDC5, LAMP3, RBKS, C9orf89, KDM4B, ELP2, HMGCL, KIF13B, NUP205, COL4A5, C11orf35, KLF11, ANKRA2, VEZF1, BMPR1B, BBS1, TTC18, PLCL1, CARD9, C1orf21, TMEM144, DAPK1, ECE2, UBASH3B, YEATS2, SNX8, CDCA5, NPAS1, TMBIM4, LRRC50, UPP1, PNP, BTRC, ARSG, MELK, RFWD3, FMNL2, RGS22, IL1F7, BUB1, FAM198B, CCDC96, SPA17, MCM5, MCM10, AGR2, HSD17B4, C5orf30, GLRB, TMEM132A, C15orf42, ORAI3, CDC20, FOXN2
ER_STATUS, AGR3, ESR1, CA12, GATA3, PSAT1, TBC1D9, FOXA1, DNALI1, MLPH, MYB, MAPT, U79293, RERG, TFF3, PPP1R14C, IL6ST, AFF3, C9orf116, XBP1, C6orf97, SUSD3, GFRA1, VGLL1, GAMT, DEGS2, SOX11, SLC39A6, NME3, KLHDC9, NAT1, SCUBE2, TTLL4, DNAJC12, ANXA9, ARSG, BX109404, SKP1, FBP1, CCNE1, CMBL, P4HTM, BCL11A, CDCA7, PDSS1, C16orf57, BCL2, HAPLN3, C5orf30, C1orf106, MPP6, IGF1R, CXXC5, RABEP1, LPIN1, EVL, CASC1, TFF1, DACH1, SLC7A8, LRP8, DYNLRB2, RSPH1, C1orf64, FAM123B, MAGED2, RAB17, TCEAL3, CCDC24, PRKX, SYBU, DSC2, WWP1, TCTN1, CHCHD5, EML4, UBASH3B, CIRBP, SLC44A4, SKP2, NUP93, KRT16P3, RUNDC1, GSDMC, AGR2, SYTL4, PFKP, FAM171A1, SLC22A5, PLEKHG1, CLSTN2, INPP5J, C11orf75, SCCPDH, WFS1, FZD9, YEATS2, FSIP1, KCTD6, RARRES1, CBX2, MTHFD1L, CDK6, ZMYND10, CPEB2, FAM134B, WDR19, CPA4, EGFR, E2F3, MID1, STARD10, USP6NL, SRPK1, CCNYL1, CARD9, C10orf116, PSME4, MYO5C, BBS1, ATL2, C14orf45, SLC7A5, KCNG1, CAPN8, STC2, SRD5A1, NCK2, ADCY9, THSD4, KRT18, S100A8, LRRC56, CDH3, TIGD2, SALL2, MALL, C6orf211, FOXC1, BC038245, FABP7, ART3, GAL, LONRF2, CMYA5, KCTD3, ZG16B, MRFAP1L1, CENPA, ACADSB, PHGDH, TCEAL4, FMNL2, FGD3, APH1B, YBX1, ACOT4, CRIP1, MICALL1, CHEK1, TMBIM4, BBS4, LAMP3, ZNF552, ENO1, NEK11, EU154351, RARA, KIAA1467, CXorf61, SOD2, MEIS3, EXOC6, NCS1, PLCH1, CAMLG, LRBA, UGT8, SUOX, RBMS1, EPB41L5, SPDEF, EPHB6, DYSF, C3orf58, CCDC74A, UPP1, FAAH, C11orf35, WNK4, SERPINA11, CEBPB, TMSB15A, LASS6, KIAA1407, PRRT3, TTYH3, FLJ23152, ANKRD30A, MTL5, ZNF670, REEP5, PAK1IP1, NCOA7, ATP6V1C2, CCDC106, HMGA1, ERBB3, RBKS, STX19, CTPS, CENPW, SLC7A2, FUT3, TMSB15B, GCNT2, CDCA2, C14orf79, AGTPBP1, GABBR2, HPN, RALGPS1, RASAL1, RAB27B, KCNN4, C16orf61, HSD17B4, IQCK, TTC8, BCAS4, BHLHE40, GARS, KIF2C, AF385432, LRRC48, HMGCL, TRPV6, GLYATL2, ECE2, FAM174A, MSN, MCM10, CDC20, RNF145
HER2_STATUS, PGAP3, STARD3, GRB7, ERBB2, C17orf37, ORMDL3, GSDMB, PSMD3, PNMT, MED1, FBXL20, MED24, TCAP, PSMB3, CDK12, LOC100505576, MFSD2A, SOX11, TP53INP2, TLCD1, CWC25, PPP1R10, SLC6A16, CATSPERB, FUT3, BC004960, G6PD, FGFR4, PIP4K2B, TMEM132A, CLCA2, PPP1R1B, S100A8, BCL2, GLYATL2, NUDT6, C1orf106, TRAF4, RERG, SLC6A13, IDH2, RPL19, CXCL17, C14orf184, ASB13, SRPK3, TRPV6, SPINK8, IKZF3, CDR2L, FHOD1, GGT1, SAMD11, C2CD4B, SUSD2, MPHOSPH6, MLLT6, CDC6, TMEM101, DNMT3B, SLC25A1, FGB, S100A9, LASP1, CBX2, LAD1, CASC3, ABCC12, GGTLC2, PCGF2, S100A7A, C2CD4A, ESR1, KYNU, GGCT, WDR19, TNFAIP1, SUSD3, MYL5, IGF1R, LBP, AKR1B10, IL6ST, DUSP10, OR52A5, STC2, PRODH, COMT, ERAL1, GGT2, SORBS3, GPR119, LRRC26, ATP13A5, SSH2, FA2H, NEU4, GGT3P, CCDC56, KATNAL2, TTYH3, MBOAT1, RBBP8, SLC29A4, MAPT, ENPP3, TRIB3, C7orf59, SLC4A11, ABCC11, NMNAT3, MYCN, ABCC4, FAM110A, GCHFR, CASP3, PITPNC1, C14orf147, DKK1, IER5L, GSDMC, FLNB, C12orf28, SLC37A1, KCNK1, POR, PAX9, BECN1, CYB561, SDC1, C22orf36, ACY3, CCDC61, VPS37B, SLC25A18, PPP1R14B, CELSR2, APH1B, CYB5D2, FGG, FAM134B, PCM1, RALA, KLHL5, SIAH2, MMP15, OPRL1, P2RY6, CST3, MNX1, FAM83A, VMP1, SCUBE2, DNASE1, DBN1, ONECUT2, HMGCL, RAPGEFL1, HPN, SPAG5, SGK3, C6orf97, C7orf68, AK096668, CLIC3, C5, S100A11, UCP2, TRIM45, POLDIP2, IYD, EPHA1, TMSB10, N4BP2L1, CLUAP1, PTRH2, SERPINA3, BX089532, PHLDA2, VAMP2, SLC15A2, C16orf57, CLSTN2, CTSF, SUPT6H, MTFR1, ALDH4A1, IGF2R, NCOA3, FAM127C, TNNT2, HMGB3, CDC45, FLOT2, EPHB4, ADCY9, SERHL2, CALML5, TDO2, BX109404, PLXNB3, SNF8, TMEM26, NAT1, ITGB6, LONRF2, F8, RAVER2, GUCY1A2, GLS2, PARP3, GPR27, SIK3, C17orf63, ZBTB4, SLC25A12, DCAF16, ZNF341, BX098874, RUNDC1, FRS3, AARS, SPRY4, GSK3B, C12orf76, GARS, NEDD8, STX1A, COL13A1, RTN4IP1, SLC35C1, DBNDD1, ETFA, RSBN1, PFKP, SYNCRIP, MGAT4A, LYPD6, GPR172A, GFRA1, GRAMD2, TFRC, UBXN11
PR_STATUS, PGR, SUSD3, MAPT, ESR1, AGR3, IL6ST, CASC1, NAT1, FGD3, C6orf97, SCUBE2, SERPINA11, CA12, BX109404, LRRC48, C9orf116, MEIS3, MYB, GFRA1, LRIG1, TMEM26, PSAT1, C14orf45, IQCK, DNALI1, RTN1, ACOT4, ABAT, SIAH2, C1orf106, RERG, GATA3, DEGS2, STC2, FAM176B, KLHDC9, TFF1, SLC39A6, TBC1D9, TFF3, RSPH1, ADCY1, WDR19, ZMYND10, RBBP8, RABEP1, PMP22, CELSR2, CIRBP, EVL, U79293, C4orf32, SERPINA3, SYBU, ADCY9, C7orf63, CCNE1, FOXA1, TCTN1, SFXN2, C16orf61, C16orf57, EML4, KCTD3, PKIB, XBP1, C17orf97, SLC7A2, FAM120AOS, PDZK1, RAB30, TUBA3D, CAPN8, DNAJC12, CCDC74A, ZG16B, LZTFL1, NUP93, NME3, CBX2, KIAA1370, MLPH, PHYHD1, TRIM8, SLC4A7, CDCA7, IRS1, GAMT, LOC389033, NEK11, BCL2, LAD1, ELOVL5, HPN, LRP8, C14orf179, IFT46, S100A8, PTPRT, FLNB, GRPR, LONRF2, SLC7A5, DYNLRB2, LPIN1, PRKX, PREX1, CCDC103, AFF3, RARRES1, EFHC1, KIAA1407, DYSF, CENPA, SYTL4, THSD4, EXOC6, GJA1, IGFBP4, PDSS1, C14orf79, CYB5D2, BLM, MAGED2, CHCHD5, CHST8, LOC100506668, TTLL4, SALL2, ANXA9, SEC14L2, RAB17, SOX11, BTD, LRRC56, HAPLN3, KIAA1737, PTGER3, AIF1L, ZNF552, IGF1R, MTHFD1L, C16orf93, CCDC24, NRIP1, LRRC6, NEK10, RUNDC1, MYO5C, PPM1J, TTC8, NOSTRIN, FSIP1, CMYA5, CD2BP2, RCOR3, KCNG1, LYPD6, APH1B, BAI2, E2F4, CDC45, SERPINA5, C11orf75, KIF2C, PPP1R14C, GARS, CPA4, MVD, NCS1, P2RY6, CDC42EP1, FAM123B, IFT88, KARS, VGLL1, HJURP, PLK1, ORC6, FAM134B, CLIC6, RAI2, CLUAP1, PTP4A2, JMJD8, NDRG1, MPP6, SEL1L3, NT5DC2, DCDC5, LAMP3, RBKS, C9orf89, KDM4B, ELP2, HMGCL, KIF13B, NUP205, COL4A5, C11orf35, KLF11, ANKRA2, VEZF1, BMPR1B, BBS1, TTC18, PLCL1, CARD9, C1orf21, TMEM144, DAPK1, ECE2, UBASH3B, YEATS2, SNX8, CDCA5, NPAS1, TMBIM4, LRRC50, UPP1, PNP, BTRC, ARSG, MELK, RFWD3, FMNL2, RGS22, IL1F7, BUB1, FAM198B, CCDC96, SPA17, MCM5, MCM10, AGR2, HSD17B4, C5orf30, GLRB, TMEM132A, C15orf42, ORAI3, CDC20, FOXN2
